review_id;order_id;name;rating;message;image_filename;created_at
"1;""Order1353977"";""David"";4;""Fantastic service and product!"";""image561648.gif"";""2023-11-09 06:25:52"""
"2;""Order953713"";""Sarah"";5;""Not what I expected."";""image1450386.png"";""2023-11-09 06:25:52"""
"3;""Order1965095"";""Sarah"";4;""Great product!"";""image929836.jpeg"";""2023-11-09 06:25:52"""
"4;""Order786105"";""Emily"";2;""Good quality would buy again."";""image1529425.png"";""2023-11-09 06:25:52"""
"5;""Order1585470"";""Emily"";1;""Love it!"";""image751349.jpg"";""2023-11-09 06:25:52"""
"6;""Order602136"";""Emily"";3;""Good quality would buy again."";""image1805554.png"";""2023-11-09 06:25:52"""
"7;""Order547471"";""David"";1;""Fantastic service and product!"";""image1948671.jpg"";""2023-11-09 06:25:52"""
"8;""Order1715197"";""John"";5;""The product arrived on time and met my expectations."";""image406293.gif"";""2023-11-09 06:25:52"""
"9;""Order932037"";""Emily"";4;""Satisfied with the purchase."";""image1953991.jpeg"";""2023-11-09 06:25:52"""
"10;""Order623214"";""Sarah"";2;""Great product!"";""image1712184.jpg"";""2023-11-09 06:25:52"""
"11;""Order434532"";""John"";5;""Great product!"";""image559422.png"";""2023-11-09 06:25:52"""
"12;""Order1313093"";""John"";4;""Great product!"";""image1684589.png"";""2023-11-09 06:25:52"""
"13;""Order1875571"";""Alice"";4;""Not what I expected."";""image1725936.jpg"";""2023-11-09 06:25:52"""
"14;""Order1696092"";""Sarah"";3;""Fantastic service and product!"";""image1494814.jpg"";""2023-11-09 06:25:52"""
"15;""Order12408"";""Michael"";4;""Satisfied with the purchase."";""image1195705.jpg"";""2023-11-09 06:25:52"""
"16;""Order838450"";""Alice"";3;""Good quality would buy again."";""image1143520.jpg"";""2023-11-09 06:25:52"""
"17;""Order1642998"";""John"";3;""Satisfied with the purchase."";""image704921.jpeg"";""2023-11-09 06:25:52"""
"18;""Order1990749"";""David"";2;""The product arrived on time and met my expectations."";""image373380.jpg"";""2023-11-09 06:25:52"""
"19;""Order1434982"";""Alice"";3;""Great product!"";""image468582.jpg"";""2023-11-09 06:25:52"""
"20;""Order1221403"";""Olivia"";3;""Could be better."";""image462925.png"";""2023-11-09 06:25:52"""
"21;""Order1554956"";""Bob"";4;""The product arrived on time and met my expectations."";""image1834091.png"";""2023-11-09 06:25:52"""
"22;""Order1643877"";""Michael"";2;""Satisfied with the purchase."";""image140188.jpeg"";""2023-11-09 06:25:52"""
"23;""Order371026"";""David"";1;""Love it!"";""image541525.gif"";""2023-11-09 06:25:52"""
"24;""Order1214472"";""Sarah"";5;""Could be better."";""image267844.jpg"";""2023-11-09 06:25:52"""
"25;""Order624941"";""David"";1;""Satisfied with the purchase."";""image123622.gif"";""2023-11-09 06:25:52"""
"26;""Order1989213"";""John"";3;""Satisfied with the purchase."";""image771005.jpg"";""2023-11-09 06:25:52"""
"27;""Order773881"";""Sarah"";1;""Not what I expected."";""image205992.png"";""2023-11-09 06:25:52"""
